Symbol,Date,Open,High,Low,Close,Adj Close,Volume
OSTK,1/22/2018,75.800003,83.599998,75.75,77.400002,77.400002,7848600
OSTK,1/23/2018,77.599998,82.75,75.400002,80.900002,80.900002,6925900
OSTK,1/24/2018,79.849998,82.900002,77.599998,79.050003,79.050003,4256900
OSTK,1/25/2018,79.800003,80,73.599998,73.949997,73.949997,3710700
OSTK,1/26/2018,72.050003,77.089996,72,74.449997,74.449997,2825700
OSTK,1/29/2018,74.849998,80.400002,73.699997,77.550003,77.550003,3606200
OSTK,1/30/2018,74.449997,77.800003,70.550003,71.25,71.25,3862600
OSTK,1/31/2018,72.25,73.949997,67.099998,68.699997,68.699997,3798200
OSTK,2/1/2018,66.099998,69.900002,65.550003,66.650002,66.650002,3056200
OSTK,2/2/2018,66.25,67.199997,55.099998,56,56,6136200
OSTK,2/5/2018,52.349998,55.549999,48.599998,49.5,49.5,5257700
OSTK,2/6/2018,48.849998,57,48.549999,55,55,4869900
OSTK,2/7/2018,56.75,60.799999,55.450001,56.150002,56.150002,4515500
OSTK,2/8/2018,58.549999,58.700001,53.849998,53.950001,53.950001,3433900
OSTK,2/9/2018,55.400002,60,52.400002,58.599998,58.599998,3934900
W,8/11/2017,68.959999,70.940002,68.599998,69.690002,69.690002,1198600
W,8/14/2017,70.080002,71.260002,70,70.809998,70.809998,1255500
W,8/15/2017,70.790001,70.959999,70.019997,70.849998,70.849998,861600
W,8/16/2017,70.849998,71.18,70.169998,70.68,70.68,939700
W,8/17/2017,70.360001,70.360001,66.43,67.07,67.07,1712100
W,8/18/2017,67.480003,67.800003,66.221001,66.870003,66.870003,1192700
W,8/21/2017,66.800003,67.339996,65.300003,66,66,1228000
W,8/22/2017,66.349998,67.635002,65.910004,67.510002,67.510002,872800
W,8/23/2017,67.089996,67.510002,65.879997,67.400002,67.400002,734900
W,8/24/2017,67.550003,67.848999,65.830002,67.190002,67.190002,983700
W,8/25/2017,69.290001,70.620003,68.139999,69.199997,69.199997,1366000
W,8/28/2017,69.239998,69.239998,67.809998,68.559998,68.559998,611200
W,8/29/2017,66.940002,68.599998,66.099998,68.290001,68.290001,1284500
W,8/30/2017,68.400002,69.809998,68.050003,69.779999,69.779999,796000
W,8/31/2017,70.080002,71.239998,69.620003,71.010002,71.010002,1458100
W,9/1/2017,71.050003,72.93,70.540001,72.459999,72.459999,1327100
W,9/5/2017,72.309998,73.919998,71.779999,73.629997,73.629997,916300
W,9/6/2017,74.940002,74.980003,72.839996,73.059998,73.059998,1166500
